,nid,TP,FP,TN,FN,sensitivity,specificity,accuracy,in_count,out_count,threshold
12266,trm_557b47abe9a34,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.92
12271,trm_4a3fd79d0a17f,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.92
12279,trm_557b494ca540d,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.93
12292,trm_558c7439832d9,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.93
12309,trm_4a3fd79d0afcf,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.93
12310,trm_557b4a913f8cc,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.93
12311,trm_557b49ad14adf,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.93
12333,trm_559f09a5cdca9,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.93
12342,trm_55ef153d47bc0,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.93
12344,trm_557b499fac085,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.93
12349,trm_557b4bb7cf05b,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.93
12350,trm_557b49206928b,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.93
12351,trm_558c73f3c8c6f,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.93
12360,trm_557b48aeb7d58,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.93
12370,trm_4a3fd79d0b61f,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.93
12371,trm_557b4817db34d,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.93
12372,trm_567982752ff4a,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.93
12377,trm_557b48d40d3cf,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.93
12380,trm_4a3fd79d0b64e,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.93
12397,trm_4c3e04d656f06,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.93
12398,trm_557b47abe9a34,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.93
12399,trm_557b471bc6cd8,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.93
12403,trm_4a3fd79d0a17f,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.93
12441,trm_4a3fd79d0afcf,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.94
